Researcher Name,Content Code,Include in Output?,Source_url,Publication_date (DD-MM-YYYY),Publication_time (hh:mm) (local time),"Content Warning (if potentially distressing imagery, briefly summarize)",Verification_status,Verifier Name,Potential unlawful use of force,Event_date (DD-MM-YYYY),Event_time (hh:mm) (local time),Geolocation_possible,Latitude,Longitude,Notes,Equipment(1)_timecode,Equipment(1)_type,Equipment(1)_manufacturer,Equipment(1)_model,Screenshots,Equipment(2)_timecode,Equipment(2)_type,Equipment(2)_manufacturer,Equipment(2)_model,Screenshots,Equipment(3)_timecode,Equipment(3)_type,Equipment(3)_manufacturer,Equipment(3)_model,Screenshots,Equipment(4)_timecode,Equipment(4)_type,Equipment(4)_manufacturer,Equipment(4)_model,Screenshots,Equipment(5)_timecode,Equipment(5)_type,Equipment(5)_manufacturer,Equipment(5)_model,Screenshots,Equipment(6)_timecode,Equipment(6)_type,Equipment(6)_manufacturer,Equipment(6)_model,Screenshots,Equipment(7)_timecode,Equipment(7)_type,Equipment(7)_manufacturer,Equipment(7)_model,Screenshots
Francesca,LB023,No,https://twitter.com/Aya_Majzoub/status/1292157825439932417?s=20,08-08-2020,08:56: ,excessive use of force,Verified,Mitch,TRUE,08-08-2020,,Yes,33.893028,35.5098167,No weapons visible - army beating protestors,,,,,https://drive.google.com/file/d/1OieEWwPi7N_9ENlTmwrprm5iezyoP1a4/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliza,LB024,No,https://twitter.com/EremNews/status/1220251041884725248,22-01-2020,23:44: ,no,Verified,Eliza,FALSE,various,unclear,Yes,33.894697,35.507347,compilation of clips by Erem News; one clip is verifiable,00:35-00:41,Vehicle-mounted weapon,SAE Alsetex,Land Cougar 12,https://drive.google.com/file/d/1Jz-WPzjKUGOVY5Aw90L3jLfe2Wyb1hJ_/view?usp=sharing,,Vehicle,IVECO,VM 90,,0:09,Vehicle,IVECO,VBTP-MR Guarani 6x6,,0:49,Launcher,SAE Alsetex,Cougar 56mm,,,,,,,,,,,,,,,,
Karina,LB026,No,https://twitter.com/anadoluimages/status/1218637165737005056/photo/4,18-01-2020,12:51: ,No,Verified,Sophia,FALSE,18-01-2020,nighttime,Yes,33.896192,35.502117,Anadolu Agency by Hussam Chbaro .,,Vehicle-mounted weapon,SAE Alsetex,Land Cougar 12,https://drive.google.com/file/d/1NPfDdbLqphES0HR9pr3w1OrPVWTpgumM/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karina,LB027,No,https://twitter.com/hasanshaaban/status/1218596327627673600/photo/4,18-01-2020,10:09: ,No,Verified,Sophia,FALSE,18-01-2020,nighttime,Yes,33.896192,35.502117,Photojournalist Hasan Shaaban,,Vehicle-mounted weapon,SAE Alsetex,Land Cougar 12,https://drive.google.com/file/d/165gdrS2a5eVJbVBBRTpUPaaefXEuQcJq/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karina,LB028,No,https://twitter.com/hasanshaaban/status/1218597104454709250/photo/4,18-01-2020,10:12: ,No,Verified,Nodoka,FALSE,18-01-2020,nighttime,Yes,33.896192,35.502117,Photojournalist Hasan Shaaban,,Vehicle,IVECO,VM 90,https://drive.google.com/file/d/114J9qYbbTrsqZ2XRhfJVCU5csX8BlSWJ/view?usp=sharing,,Vehicle,IVECO,VBTP-MR Guarani 6x6,https://drive.google.com/file/d/114J9qYbbTrsqZ2XRhfJVCU5csX8BlSWJ/view?usp=sharing,,Vehicle-mounted weapon,SAE Alsetex,Land Cougar 12,,,,,,,,,,,,,,,,,,,,,
Karina,LB029,No,https://twitter.com/LarissaAounSky/status/1218560155727671299/photo/3,18-01-2020,07:45: ,No,Cannot be Verified,Nodoka,FALSE,17-01-2020,nighttime,No,,,"Orginally in Skynews reposted by Larissa Aoun, Similar video by Skynews https://news.sky.com/video/beirut-protests-turn-violent-11911631",,Vehicle,IVECO,VM 90,https://drive.google.com/file/d/1Z4TOCb_Za_GOz-FEoRdH9CnCxsQDEcHo/view?usp=sharing,,Vehicle-mounted weapon,SAE Alsetex,Land Cougar 12,https://drive.google.com/file/d/1Z4TOCb_Za_GOz-FEoRdH9CnCxsQDEcHo/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Karina,LB030,No,https://twitter.com/Georges__Haddad/status/1218581615611392002,18-01-2020,09:11: ,No,Cannot be Verified,Nodoka,FALSE,18-01-2020,nighttime,No,,,"LC International (local news), Similar videos by LC Internationalhttps://www.youtube.com/watch?v=lZPVnuxaN2Q https://www.youtube.com/watch?v=d82sY5F0YuM",,Vehicle,IVECO,VBTP-MR Guarani 6x6,https://drive.google.com/file/d/1XE6MgCfzw2PVbyBaZwgH22-DXcGy86p-/view?usp=sharing,,Vehicle-mounted weapon,SAE Alsetex,Land Cougar 12,https://drive.google.com/file/d/1XE6MgCfzw2PVbyBaZwgH22-DXcGy86p-/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Karina,LB031,No,https://twitter.com/MatthieuKaram/status/1218680724401860608,18-01-2020,15:45: ,No,Cannot be Verified,Nodoka,FALSE,18-01-2020,nighttime,No,,,"Water Cannon the back of the vehicle. Aymeric :  I don’t think it’s a water canon truck, it’s rather a carrier troops. I thought to a MIDS (arquus) but the windows on the side don’t match. The vehicle looks like to the vehicle in this video https://www.youtube.com/watch?v=bWG8V07xZew   (see at 05 :57) But I did not manage to identify the vehicle.",,Vehicle,Other,Other,https://drive.google.com/file/d/1W8INePO4KimfNR4S_Lt-Xk04fiu203qr/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karina,LB032,No,https://twitter.com/Michal_Kranz/status/1218650183950618624,18-01-2020,01:43: ,No,Cannot be Verified,Nodoka,FALSE,18-01-2020,,No,,,"Protestors have gathered tear gas rounds and rubber bullets fired in Martyrs Square. If you zoom into the leftmost grey munition, you can see that the numbers are identical to the one shown on this website: https://desarmons.net/2020/03/15/letat-libanais-reprime-la-revolte-de-son-peuple-avec-des-armes-100-francaises/",,Munition,SAPL,Gomm-Cogne Balle Cal. 12/67,https://drive.google.com/file/d/1V-ymCsZzdeCrrzQZb9g8x9U_JZ26tkJg/view?usp=sharing,,Munition,SAE Alsetex,CM4/CM6,https://drive.google.com/file/d/1-D9tfSVqdq7j0xQzLthZqn-RkyEJRqWM/view?usp=sharing,,Munition,Dauriac Security Nautic,Other,"https://drive.google.com/file/d/1j5mY2e9-iGcuAuzC52iHzFRp89ZENcSf/view?usp=sharing
https://drive.google.com/file/d/12EV5npaJVTa5jhQYhqZzTPbt9HGQ6cZL/view?usp=sharing",,,,,,,,,,,,,,,,,,,,
Karina,LB033,No,https://twitter.com/AJENews/status/1218568945998934019,18-01-2020,08:20: ,No,Cannot be Verified,Aaliyah,FALSE,18-01-2020,,No,,,Published by Al Jazeera News. Hard to see launchers though ,,Vehicle,IVECO,VM 90,https://drive.google.com/file/d/12lr4ha7KMrPxv-vSZLHJ0uB_yYnPyPFV/view?usp=sharing,,Vehicle-mounted weapon,SAE Alsetex,Land Cougar 12,,,,,,,,,,,,,,,,,,,,,,,,,,
Karina,LB034,No,https://twitter.com/CensoredToday/status/1218359328480120832,17-01-2020,18:27: ,No,Cannot be Verified,Aaliyah,FALSE,17-01-2020,,,,,Reposted from the possible youtube video by VOA ,,Vehicle,AM General,Humvee,https://drive.google.com/file/d/1L7vffPaP4zKYd4cV1M0pwoxWOnoIhzdH/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karina,LB035,No,https://twitter.com/mgdowney/status/1218605388418965507,18-01-2020,10:45: ,General use of force against protestors,Verified,Aaliyah,FALSE,18-01-2020,nighttime,Yes,33.896192,35.502117,Potentially new weapons/ Aymeric : I don't know.,"0:01, 0:08",,,,https://drive.google.com/drive/u/3/folders/1WDEONoaeYDPZKFngSKZdHLP9I1OiEMXL,,,,,https://drive.google.com/drive/u/3/folders/1WDEONoaeYDPZKFngSKZdHLP9I1OiEMXL,,,,,,,,,,,,,,,,,,,,,,,,,
Karina,LB036,No,https://www.youtube.com/watch?v=MvLGYhPLtIs&feature=emb_logo,18-01-2020,,General use of force against protestors,Verified,Aaliyah,FALSE,18-01-2020,nighttime,Yes,33.897775,35.505778,Vehicle mounted weapon + Vehicle logo + many other instances of the same vehicles + launchers combos  ,35.20-25,Launcher,SAE Alsetex,Chouka 56mm,https://drive.google.com/drive/u/3/folders/1WDEONoaeYDPZKFngSKZdHLP9I1OiEMXL,13.25-13.30,Vehicle,IVECO,VM 90,https://drive.google.com/drive/u/3/folders/1WDEONoaeYDPZKFngSKZdHLP9I1OiEMXL,,Vehicle-mounted weapon,SAE Alsetex,Land Cougar 12,,32:12:00,Vehicle,IVECO,VBTP-MR Guarani 6x6,,,,,,,,,,,,,,,,
Wendy,LB037,No,https://twitter.com/epaphotos/status/1292154394310520835/photo/3,08-08-2020,10:43: ,No,Verified,Wendy,FALSE,08-08-2020,,Yes,33.8979081,35.5055639, Direct link to photojournalist entry :   Aymeric : tear gas grenades alsetex with a DPR 100,,Launcher,SAE Alsetex,Cougar Multilight 56mm,https://drive.google.com/file/d/1c-zG1yJEsog8dxSWksn25ApsnQ6m3YWE/view?usp=sharing,,Munition,SAE Alsetex,CM4/CM6,https://drive.google.com/file/d/15KayEJLydZXPZEEoH0Zqzcsv79iVYx0f/view?usp=sharing,,Munition,SAE Alsetex,"DPR (50m,100m, or 200m)",,,,,,,,,,,,,,,,,,,,,
Wendy,LB038,No,https://webgate.epa.eu/id/56262726,08-08-2020,17:10: ,No,Verified,Wendy,FALSE,08-08-2020,,Yes,,,,,Vehicle-mounted weapon,SAE Alsetex,Land Cougar 12,https://drive.google.com/file/d/1UMJQUjUgPYtxw2qs-1rnHiAvRXeR5-nm/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wendy,LB039,No,https://webgate.epa.eu/id/56262669,08-08-2020,17:14: ,No,Verified,Sophia,FALSE,08-08-2020,,Yes,33.895216,35.506267,I don't think it's Cougar multilight because of the form of the mouth of the tube. Compared with the picture on this link : https://maintiendelordre.fr/ I think it's a the simple version of the Cougar; ,,Launcher,SAE Alsetex,Cougar 56mm,https://drive.google.com/file/d/18T1UBkcj7GZohDv07Oqpu3RUnO1HlHE-/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wendy,LB040,No,https://webgate.epa.eu/id/56262693,08-08-2020,16:55: ,No,Verified,Wendy,FALSE,08-08-2020,,Yes,33.8974191,35.5059128,Entrance of Mansour Assaf Mosque,,Vehicle-mounted weapon,SAE Alsetex,Land Cougar 12,https://drive.google.com/file/d/1powgXMFoGu0exQHYujF_uON5LYzzelz5/view?usp=sharing,,Vehicle,IVECO,VM 90,,,,,,,,,,,,,,,,,,,,,,,,,,
